UID#1001,VID#12357,SID#1820538279130927,192.168.205.103,2017/03/23 15:05:49,2017/03/23 15:12:42,Player,full screen
UID#1008,VID#12357,SID#8923238569362545,183.164.209.104,2017/03/23 15:07:22,2017/03/23 15:18:93,TV,full screen
UID#2005,VID#12357,SID#1820538259356278,154.163.207.105,2017/03/23 15:38:46,2017/03/23 16:15:16,Player,full screen
UID#9027,VID#12357,SID#8923238569473456,195.162.202.106,2017/03/23 15:14:27,2017/03/23 15:55:28,Player,standard
UID#8920,VID#12357,SID#1820538278462395,176.161.204.107,2017/03/23 15:06:48,2017/03/23 15:24:59,Player,full screen
UID#1027,VID#12357,SID#8923238560473425,157.168.206.108,2017/03/23 15:42:23,2017/03/23 16:12:33,Enbeded,standard
UID#2634,VID#12357,SID#1820538277352828,198.167.206.109,2017/03/23 15:34:42,2017/03/23 15:55:14,Player,full screen
UID#4598,VID#12357,SID#8923238569467390,199.166.209.104,2017/03/23 15:28:27,2017/03/23 15:48:45,Embeded,full screen
UID#2693,VID#12357,SID#1820538279138345,122.165.203.105,2017/03/23 15:52:49,2017/03/23 16:34:50,TV,full screen
UID#2834,VID#12357,SID#8923238568362954,132.164.202.107,2017/03/23 15:21:23,2017/03/23 15:18:29,Player,standard
UID#1001,VID#12365,SID#1883568279150925,193.138.205.103,2017/03/24 19:03:49,2017/03/24 19:12:42,Player,full screen
UID#1008,VID#12365,SID#8923268569372544,184.114.209.104,2017/03/24 19:04:22,2017/03/24 19:18:93,TV,full screen
UID#2005,VID#12365,SID#1829588259356272,156.103.207.105,2017/03/24 19:35:46,2017/03/24 20:15:16,Player,full screen
UID#9027,VID#12365,SID#8928238569423451,197.192.202.106,2017/03/24 19:12:27,2017/03/24 19:55:28,Player,standard
UID#8920,VID#12365,SID#1827548278432390,178.181.204.107,2017/03/24 19:03:48,2017/03/24 19:24:59,Player,full screen
UID#1027,VID#12365,SID#8926258560443429,159.178.206.108,2017/03/24 19:45:23,2017/03/24 20:12:33,Enbeded,standard
UID#2634,VID#12365,SID#1825588277352827,191.167.206.109,2017/03/24 19:31:42,2017/03/24 19:55:14,Player,full screen
UID#4598,VID#12365,SID#8924298569477395,190.156.209.104,2017/03/24 19:22:27,2017/03/24 19:48:45,Embeded,full screen
UID#2693,VID#12365,SID#1823518279188344,123.145.203.105,2017/03/24 19:50:49,2017/03/24 20:34:50,TV,full screen
UID#2834,VID#12365,SID#8922238568392952,132.134.202.107,2017/03/24 19:20:23,2017/03/24 19:18:29,Player,standard
